NumOfNodes,PacketsPerSec,NodeSpeed,Throughput,EndToEndDelay,PacketDeliveryRatio,PacketDropRatio
20,100,5,282.178,0.0048515,39.4564,60.1586
40,100,5,365.538,0.0798133,26.8977,70.3309
70,100,5,403.025,0.183718,18.389,77.5353
100,100,5,437.376,0.140163,14.0836,81.3112
20,100,5,282.178,0.0048515,39.4564,60.1586
20,200,5,532.196,0.0433753,37.3143,61.53
20,300,5,631.834,0.0454392,29.6018,69.2743
20,400,5,751.482,0.0684337,26.6179,72.2722
20,100,5,282.178,0.0048515,39.4564,60.1586
20,100,10,231.882,0.0117871,32.5452,66.1156
20,100,15,223.536,0.0202506,31.5406,66.4374
20,100,20,207.003,0.0293111,29.4836,67.8819
