NumOfNodes,PacketsPerSec,NodeSpeed,Throughput,EndToEndDelay,PacketDeliveryRatio,PacketDropRatio
20,100,5,280.641,0.0126379,39.3003,60.3172
40,100,5,323.362,0.0734759,23.9852,72.6082
70,100,5,387.237,0.165851,18.4522,77.0583
100,100,5,423.562,0.121297,14.4759,80.2916
20,100,5,280.641,0.0126379,39.3003,60.3172
20,200,5,523.541,0.0191445,36.6441,63.1618
20,300,5,613.741,0.0846475,28.9102,69.641
20,400,5,753.255,0.0745116,26.698,73.0726
20,100,5,280.641,0.0126379,39.3003,60.3172
20,100,10,263.044,0.0269965,36.8794,61.7867
20,100,15,241.432,0.0502995,34.3991,63.2294
20,100,20,193.815,0.0621269,28.0203,69.6542
